1,100
2,140
3,130
4,130
5,120
6,190
7,170
8,140
9,180
10,120
11,150
12,160
13,130
14,110
15,140
16,170
17,150
18,140
19,110
20,100
21,180
22,150
23,170
24,100
25,160
26,190
27,140
28,100
29,160
30,100
31,160
32,120
33,120
34,170
35,170
36,150
37,150
38,160
39,140
40,150
41,130
42,140
43,180
44,130
45,140
46,190
47,120
48,130
49,130
50,190
51,180
52,160
53,100
54,160
55,170
56,110
57,140
58,150
59,150
60,120
61,130
62,110
63,100
64,180
65,120
66,120
67,100
68,110
69,160
70,140
71,170
72,130
73,150
74,160
75,140
76,120
77,120
78,130
79,160
80,170
81,130
82,120
83,150
84,180
85,140
86,100
87,110
88,110
89,110
90,190
91,190
92,160
93,140
94,130
95,160
96,190
97,150
98,100
99,190
100,110
101,140
102,100
103,190
104,180
105,150
106,100
107,160
108,190
109,150
110,160
111,160
112,170
113,150
114,100
115,120
116,190
117,180
118,130
119,140
120,120
121,120
122,160
123,120
124,170
125,160
126,190
127,140
128,160
129,190
130,150
131,190
132,100
133,140
134,100
135,190
136,180
137,190
138,100
139,190
140,130
141,160
142,150
143,120
144,160
145,160
146,140
147,120
148,130
149,150
150,160
151,110
152,110
153,180
154,170
155,180
156,160
157,190
158,190
159,100
160,190
161,190
162,160
163,160
164,140
165,130
166,180
167,190
168,190
169,160
170,130
171,170
172,130
173,130
174,170
175,190
176,170
177,170
178,130
179,110
180,170
181,150
182,180
183,150
184,180
185,150
186,110
187,120
188,150
189,120
190,120
191,170
192,180
193,110
194,190
195,170
196,110
197,130
198,120
199,120
200,160
201,150
202,150
203,100
204,100
205,190
206,140
207,130
208,160
209,170
210,150
211,120
212,190
213,140
214,180
215,160
216,120
217,110
218,130
219,150
220,120
221,170
222,190
223,110
224,170
225,150
226,100
227,160
228,170
229,170
230,130
231,100
232,110
233,180
234,150
235,120
236,140
237,110
238,160
239,140
240,160
241,160
242,100
243,190
244,130
245,160
246,120
247,160
248,150
249,140
250,100
