67664,AER,KZN,,
67665,ASF,KZN,,
67666,ASF,MRV,,
67667,CEK,KZN,,
67668,CEK,OVB,,
67669,DME,KZN,,
67670,DME,NBC,,
67671,DME,UUA,,
67672,EGO,KGD,,
67673,EGO,KZN,,
67674,GYD,NBC,,
67675,KGD,EGO,,
67676,KZN,AER,,
67677,KZN,ASF,,
67678,KZN,CEK,,
67679,KZN,DME,,
67680,KZN,EGO,,
67681,KZN,LED,,
67682,KZN,SVX,,
67683,LED,KZN,,
67684,LED,NBC,,
67685,LED,UUA,,
67686,MRV,ASF,,
67687,NBC,DME,,
67688,NBC,GYD,,
67689,NBC,LED,,
67690,NBC,SVX,,
67691,NJC,SVX,,
67692,NJC,UUA,,
67693,NUX,SVX,,
67694,OVB,CEK,,
67695,OVB,SVX,,
67696,SVX,KZN,,
67697,SVX,NBC,,
67698,SVX,NJC,,
67699,SVX,NUX,,
67700,SVX,OVB,,
67701,UUA,DME,,
67702,UUA,LED,,
67703,UUA,NJC,,
67704,BTK,IKT,,
67705,BTK,OVB,,
67706,CEK,OVB,,
67707,HTA,IKT,,
67708,IKT,BTK,,
67709,IKT,HTA,,
67710,IKT,ODO,,
67711,IKT,OVB,,
67712,IKT,UKX,,
67713,IKT,ULK,,
67714,IKT,YKS,,
67715,MJZ,OVB,,
67716,ODO,IKT,,
67717,OVB,BTK,,
67718,OVB,CEK,,
67719,OVB,IKT,,
67720,UKX,IKT,,
67721,ULK,IKT,,
67722,YKS,IKT,,
67723,AYP,LIM,,
67724,CUZ,LIM,,
67725,CUZ,PEM,,
67726,HUU,LIM,,
67727,IQT,PCL,,
67728,IQT,TPP,,
67729,LIM,AYP,,
67730,LIM,CUZ,,
67731,LIM,HUU,,
67732,LIM,PCL,,
67733,LIM,TPP,,
67734,PCL,IQT,,
67735,PCL,LIM,,
67736,PCL,TPP,,
67737,PEM,CUZ,,
67738,TPP,IQT,,
67739,TPP,LIM,,
67740,TPP,PCL,,
67741,ABJ,BOY,,
67742,ABJ,OUA,,
67743,ACC,OUA,,
67744,BKO,ABJ,,
67745,BKO,DKR,,
67746,BKO,OUA,,
67747,BOY,ABJ,,
67748,BOY,OUA,,
67749,COO,LFW,,
67750,COO,OUA,,
67751,DKR,BKO,,
67752,DKR,OUA,,
67753,LFW,OUA,,
67754,NIM,OUA,,
67755,OUA,ABJ,,
67756,OUA,ACC,,
67757,OUA,BKO,,
67758,OUA,BOY,,
67759,OUA,COO,,
67760,OUA,DKR,,
67761,OUA,LFW,,
67762,OUA,NIM,,
67763,BOG,GYE,,
67764,BOG,UIO,,
67765,CLO,GYE,,
67766,GYE,BOG,,
67767,GYE,CLO,,
67768,GYE,SCY,,
67769,GYE,UIO,,
67770,OCC,UIO,,
67771,SCY,GYE,,
67772,UIO,BOG,,
67773,UIO,GYE,,
67774,UIO,OCC,,
67775,BDS,ZRH,,
67776,BOD,ZRH,,
67777,BRS,ZRH,,
67778,GVA,LPA,,
67779,LCA,ZRH,,
67780,LPA,ZRH,,
67781,RMF,ZRH,,
67782,TFS,GVA,,
67783,ZRH,BDS,,
67784,ZRH,BOD,,
67785,ZRH,BRS,,
67786,ZRH,LCA,,
67787,ZRH,LPA,,
67788,ZRH,RMF,,
67789,AJR,LYC,,
67790,ARN,GEV,,
67791,ARN,HAD,,
67792,ARN,JKG,,
67793,ARN,KRF,,
67794,ARN,KSD,,
67795,ARN,LYC,,
67796,ARN,MHQ,,
67797,ARN,OER,,
67798,ARN,POR,,
67799,ARN,TRF,,
67800,ARN,VBY,,
67801,ARN,VHM,,
67802,ARN,VXO,,
67803,GEV,ARN,,
67804,GEV,KRF,,
67805,HAD,ARN,,
67806,HAD,JKG,,
67807,HAD,VXO,,
67808,HMV,VHM,,
67809,JKG,ARN,,
67810,JKG,HAD,,
67811,KOK,POR,,
67812,KRF,ARN,,
67813,KRF,GEV,,
67814,KSD,ARN,,
67815,LYC,AJR,,
67816,LYC,ARN,,
67817,MHQ,ARN,,
67818,MHQ,TKU,,
67819,OER,ARN,,
67820,OSL,VXO,,
67821,POR,ARN,,
67822,POR,KOK,,
67823,TKU,MHQ,,
67824,TRF,ARN,,
67825,VBY,ARN,,
67826,VHM,ARN,,
67827,VHM,HMV,,
67828,VXO,ARN,,
67829,VXO,OSL,,
